model,framework,profile,concurrency,out_tok_s_per_gpu,cluster_tok_s,cluster_mtok_hr,cluster_tok_day_billions,cost_per_mtok_out,cluster_cost_hr,cluster_cost_day
kimi-k2.5,sglang,1k1k,128,324.3915105978077,249132.68013911633,896.8776485008189,21.52506356401965,3.5108467752133135,3148.7999999999997,75571.2
minimax-m2.7,sglang,1k1k,512,1285.480806907744,987249.2597051474,3554.0973349385304,85.29833603852474,0.8859633553211225,3148.7999999999997,75571.2
minimax-m2.7,vllm,1k1k,512,1255.256188203795,964036.7525405146,3470.5323091458527,83.29277541950046,0.9072959763843731,3148.7999999999997,75571.2
